core.externalId,core.name,core.description,Asset Type,HierarchicalPath,Created On,Created By,Modified On,Modified By,Identity,core.location,core.origin
7f194812-5426-3b18-9c97-315f6b4d7dc1://7f194812-5426-3b18-9c97-315f6b4d7dc1~core.Resource,Ora_test,"",core.Resource,Ora_test,"Dec 05, 2024, 07:35:00 AM",manoj_GE,"May 01, 2025, 08:37:23 AM",manoj_GE,98f8dde6-b093-4e9a-9d63-0bc91a871ccc,7f194812-5426-3b18-9c97-315f6b4d7dc1://7f194812-5426-3b18-9c97-315f6b4d7dc1,7f194812-5426-3b18-9c97-315f6b4d7dc1
7f194812-5426-3b18-9c97-315f6b4d7dc1://xe/DEMO/IOB_CUSTOMERS/CUSTOMERID~com.infa.odin.models.relational.Column,CUSTOMERID,"",com.infa.odin.models.relational.Column,Ora_test/xe/DEMO/IOB_CUSTOMERS/CUSTOMERID,"Dec 05, 2024, 07:45:20 AM",manoj_GE,"Mar 13, 2025, 10:25:11 AM",manoj_GE,9e561e58-a31b-4262-8bd5-30826566d588,7f194812-5426-3b18-9c97-315f6b4d7dc1://7f194812-5426-3b18-9c97-315f6b4d7dc1/xe/DEMO/IOB_CUSTOMERS/CUSTOMERID,7f194812-5426-3b18-9c97-315f6b4d7dc1
BT-347,Supplier Type,"Classification of the supplier based on business relationship (e.g., manufacturer, distributor)",com.infa.ccgf.models.governance.BusinessTerm,Supplier/Supplier Type,"May 01, 2025, 02:52:16 PM",manoj_GE,"May 05, 2025, 05:34:36 PM",Arjun_Dev,afe117e7-2159-45d0-b942-28e5ca835bdc,CDGC://11a09104-7489-402e-895d-53ed6a3abd97/afe117e7-2159-45d0-b942-28e5ca835bdc,CDGC
BT-358,Supplier Address,,com.infa.ccgf.models.governance.BusinessTerm,Supplier/Supplier Address,"May 22, 2025, 03:52:43 PM",Arjun_Dev,"May 22, 2025, 03:52:46 PM",Arjun_Dev,d3449b89-aca5-4aeb-a0bf-c4244213ea06,CDGC://11a09104-7489-402e-895d-53ed6a3abd97/d3449b89-aca5-4aeb-a0bf-c4244213ea06,CDGC
DQO-3,RO Customer Validity check,,com.infa.ccgf.models.governance.RuleInstance,Ora_test/xe/DEMO/IOB_CUSTOMERS/FIRSTNAME/RO Customer Validity check,"Dec 07, 2024, 03:53:34 AM",manoj_GE,"Jan 29, 2025, 07:17:50 AM",manoj_GE,ddf6c154-6dfd-4cbb-bd10-738de740a772,7f194812-5426-3b18-9c97-315f6b4d7dc1://7f194812-5426-3b18-9c97-315f6b4d7dc1/xe/DEMO/IOB_CUSTOMERS/FIRSTNAME/ddf6c154-6dfd-4cbb-bd10-738de740a772,7f194812-5426-3b18-9c97-315f6b4d7dc1
BT-229,Asset ID,Unique identifier assigned to each asset.,com.infa.ccgf.models.governance.BusinessTerm,Asset/Asset ID,"Apr 16, 2025, 10:04:46 AM",manoj_GE,"May 05, 2025, 05:35:06 PM",Arjun_Dev,1130d01e-e9ba-45e7-afaa-4fb0f933097f,CDGC://c602bee1-ee44-4871-a74f-1dab25c23229/1130d01e-e9ba-45e7-afaa-4fb0f933097f,CDGC
BT-217,Customer Status,Current status of the customer in the system,com.infa.ccgf.models.governance.BusinessTerm,Customer/Customer Status,"Mar 05, 2025, 03:38:29 PM",manoj_GE,"May 05, 2025, 05:35:54 PM",Arjun_Dev,134c3377-6fda-41d7-8138-6601e08c4fe0,CDGC://0de78700-07cd-47e0-a71a-65c3a24da16e/134c3377-6fda-41d7-8138-6601e08c4fe0,CDGC
4bfce055-a12d-3ec2-a0a1-a49dbffc2224://FileServer/C:/Project_GE/flatfile~com.infa.odin.models.file.Folder,flatfile,,com.infa.odin.models.file.Folder,S3_AI_Factory_CIA/File Server/C:/Project_GE/flatfile,"Jun 10, 2025, 02:06:43 AM",Manoj_Dev,"Jun 10, 2025, 02:06:43 AM",Manoj_Dev,2750343c-0fac-4d7b-89cd-4e9110d3aff2,4bfce055-a12d-3ec2-a0a1-a49dbffc2224://4bfce055-a12d-3ec2-a0a1-a49dbffc2224/File Server/C:/Project_GE/flatfile,4bfce055-a12d-3ec2-a0a1-a49dbffc2224
BT-276,Asset Category,Broad grouping used for reporting and governance.,com.infa.ccgf.models.governance.BusinessTerm,Asset/Asset Category,"Apr 17, 2025, 07:57:09 PM",manoj_GE,"May 05, 2025, 05:34:53 PM",Arjun_Dev,5c9012ec-b2c9-4c82-a04e-cc6fcdeddba8,CDGC://c602bee1-ee44-4871-a74f-1dab25c23229/5c9012ec-b2c9-4c82-a04e-cc6fcdeddba8,CDGC
BT-200,Customer Address,<p>Mailing or billing address associated with the customer.</p><p><br></p><p>Modifed</p>,com.infa.ccgf.models.governance.BusinessTerm,Customer/Customer Address,"Dec 07, 2024, 03:51:30 AM",manoj_GE,"May 22, 2025, 03:51:52 PM",Arjun_Dev,87de940d-b54b-42b8-ab19-6cf8afc6a91d,CDGC://0de78700-07cd-47e0-a71a-65c3a24da16e/87de940d-b54b-42b8-ab19-6cf8afc6a91d,CDGC
7f194812-5426-3b18-9c97-315f6b4d7dc1://xe/DEMO/IOB_CUSTOMERS~com.infa.odin.models.relational.Table,IOB_CUSTOMERS,,com.infa.odin.models.relational.Table,Ora_test/xe/DEMO/IOB_CUSTOMERS,"Dec 05, 2024, 07:45:33 AM",manoj_GE,"Dec 05, 2024, 07:45:33 AM",manoj_GE,8eeff1fc-847b-48cd-82d7-45b0dd5055d2,7f194812-5426-3b18-9c97-315f6b4d7dc1://7f194812-5426-3b18-9c97-315f6b4d7dc1/xe/DEMO/IOB_CUSTOMERS,7f194812-5426-3b18-9c97-315f6b4d7dc1
